The information provided within this data file was correct at time of publishing and is subject to change at any time. Dated: 16/5/2018


Name,Address,Suburb,Postcode,Phone,Fax,LHD
Woy Woy Hospital,Ocean Beach Road,Woy Woy,2256,02 4344 8444,02 4344 8555,Central Coast Local Health District
Wyong Hospital,Pacific Highway,Kanwal,2259,02 4394 8000,02 4393 8333,Central Coast Local Health District
Long Jetty Health Care Facility,Wyong Road,Killarney Vale,2261,02 4336 7700,02 4336 7750,Central Coast Local Health District
Gosford Hospital,Holden Street,Gosford,2250,02 4320 2111,02 4325 0566,Central Coast Local Health District
Kiama Hospital and Community Health Service,Bonaira Street,Kiama,2533,02 4233 1033,02 4232 1005,Illawarra Shoalhaven Local Health District
Milton Ulladulla Hospital,106 Princes Highway,Milton,2538,02 4455 1333,02 4454 9140,Illawarra Shoalhaven Local Health District
David Berry Hospital,85 Tannery Road,Berry,2535,02 4464 1001,02 4464 1716,Illawarra Shoalhaven Local Health District
Bulli Hospital,Hospital Road,Bulli,2516,02 4284 4344,02 4283 0688,Illawarra Shoalhaven Local Health District
Coledale District Hospital,636 Lawrence Hargrave Drive,Coledale,2515,02 4267 2266,02 4267 3628,Illawarra Shoalhaven Local Health District
Shellharbour Hospital,15-17 Madigan Boulevarde,Mt Warrigal,2528,02 4295 2500,02 4295 2497,Illawarra Shoalhaven Local Health District
Shoalhaven Hospital,Shoalhaven Street,Nowra,2541,02 4421 3111,02 4421 4967,Illawarra Shoalhaven Local Health District
Port Kembla Hospital,Cowper Street,Port Kembla,2505,02 4223 8000,02 4223 8025,Illawarra Shoalhaven Local Health District
Kiama Hospital Nursing Home,Bonaire Street,Kiama,2533,02 4233 1033,,Illawarra Shoalhaven Local Health District
Wollongong Hospital,Loftus Street,Wollongong,2500,02 4222 5000,02 4222 5313,Illawarra Shoalhaven Local Health District
Tabulam Residential Aged Care,20 Green Street,Portland,2847,02 6359 2666,,Nepean Blue Mountains Local Health District
Portland Tabulam Health Centre,20 Green Street,Portland,2847,02 6359 2666,02 6355 5007,Nepean Blue Mountains Local Health District
Springwood Hospital,Huntley Grange Road,Springwood,2777,02 4751 0300,02 4751 0388,Nepean Blue Mountains Local Health District
Blue Mountains District ANZAC Memorial Hospital,Cnr Woodlands Road and Great Western Hwy,Katoomba,2780,02 4784 6500,02 4780 6480,Nepean Blue Mountains Local Health District
Lithgow Integrated Health Service,Col Drewe Drive,Lithgow,2790,02 6350 2300,02 6350 2336,Nepean Blue Mountains Local Health District
Nepean Hospital,Derby Street,Kingswood,2747,02 4734 2000,02 4734 2904,Nepean Blue Mountains Local Health District
Governor Phillip Residential Aged Care Facility,Glebe Place,Penrith,2750,02 4734 2000,,Nepean Blue Mountains Local Health District
Royal Rehabilitation Hospital - Coorabel/Moorong,227 Morrison Road,Ryde,2112,02 9807 1144,,Northern Sydney Local Health District
St Catherines Villa Nursing Home,162-166 Balaclava Road,Eastwood,2122,02 9805 1655,,Northern Sydney Local Health District
Mona Vale Hospital,Coronation Street,Mona Vale,2103,02 9998 0333,02 9997 7079,Northern Sydney Local Health District
Manly Hospital,Darley Road,Manly,2095,02 9976 9611,02 9977 8907,Northern Sydney Local Health District
Hornsby Ku-ring-gai Hospital,Palmerston Rd,Hornsby,2077,02 9477 9123,02 9477 2005,Northern Sydney Local Health District
Greenwich Hospital,River Road,Greenwich,2065,02 9903 8305,02 9903 8299,Northern Sydney Local Health District
Ryde Hospital,Denistone Road,Eastwood,2122,02 9874 0199,02 9874 5414,Northern Sydney Local Health District
Royal North Shore Hospital,Pacific Highway,St Leonards,2065,02 9926 7111,02 9926 7779,Northern Sydney Local Health District
Neringah Hospital,4-12 Neringah Avenue South,Wahroonga,2076,02 9488 2200,,Northern Sydney Local Health District
Royal Hospital for Women,Barker Street,Randwick,2031,02 9382 6111,02 9382 6513,South Eastern Sydney Local Health District
Prince of Wales Hospital,Barker Street,Randwick,2031,02 9382 2222,02 9382 2033,South Eastern Sydney Local Health District
St George Hospital,Belgrave Street,Kogarah,2217,02 9113 1111,02 9350 3960,South Eastern Sydney Local Health District
Sydney Hospital & Sydney Eye Hospital,8 Macquarie Street,Sydney,2001,02 9382 7111,02 9382 7320,South Eastern Sydney Local Health District
Sutherland Hospital & Community Health Service,Cnr The Kingsway and Kareena Road ,Caringbah,2229,02 9540 7111,02 9540 7197,South Eastern Sydney Local Health District
War Memorial Hospital,125 Birrell Street,Waverley,2024,02 9369 0100,02 9387 7018,South Eastern Sydney Local Health District
Garrawarra Centre for Aged Care,Princes Highway,Waterfall,2233,02 9548 4700,02 9520 7133,South Eastern Sydney Local Health District
Calvary Health Care Sydney,91-111 Rocky Point Road,Kogarah,2217,02 9553 3111,02 9587 1421,South Eastern Sydney Local Health District
Gower Wilson - Multi-Purpose Service,Lord Howe Island,Lord Howe Island,2898,02 6563 2000,,South Eastern Sydney Local Health District
Gower Wilson Memorial Residential Aged Care Facility,Lord Howe Island,Lord Howe Island,2898,02 6563 2000,,South Eastern Sydney Local Health District
Camden Hospital,Menangle Road,Camden,2570,02 4634 3000,02 4654 6010,South Western Sydney Local Health District
Campbelltown Hospital,Therry Road,Campbelltown,2560,02 4634 3000,02 4634 3880,South Western Sydney Local Health District
Carrington Centennial Hospital,90 Werombi Road,Camden,2570,02 4659 0590,02 4655 1984,South Western Sydney Local Health District
Bowral Hospital,Mona road,Bowral,2576,02 4861 0200,02 4861 4511,South Western Sydney Local Health District
Braeside Hospital,Locked Bag 82 Wetherill Park 1851<br/>340 Prairie Vale Road,Prairiewood,2176,1300 225013,02 9756 8805,South Western Sydney Local Health District
Bankstown Lidcombe Hospital,Eldridge Road,Bankstown,2200,02 9722 8000,02 9722 8570,South Western Sydney Local Health District
Fairfield Hospital,Cnr Polding Street & Prairievale Road,Fairfield,2165,02 9616 8111,02 9616 8855,South Western Sydney Local Health District
Liverpool Hospital,Cnr Elizabeth & Goulburn Street,Liverpool,2170,02 8738 3000,02 9828 6318,South Western Sydney Local Health District
Queen Victoria Memorial Home,615 Thirlmere Way,Picton,2571,02 4683 6900,02 4683 6910,South Western Sydney Local Health District
Royal Prince Alfred Hospital,Missenden Road,Camperdown,2050,02 9515 6111,02 9515 6133,Sydney Local Health District
Balmain Hospital,29 Booth Street,Balmain,2041,02 9395 2111,02 9395 2020,Sydney Local Health District
Concord Repatriation General Hospital,Hospital Rd,Concord,2139,02 9767 5000,02 9767 6991,Sydney Local Health District
Canterbury Hospital,Canterbury Road,Campsie,2194,02 9787 0000,02 9787 0031,Sydney Local Health District
